source,target
"com.itsoninc.saas.services.subscriber.account.AccountManagementEventService$SubscriberChurnSetting","java.lang.Enum"
"com.itsoninc.saas.adapter.jms.JMSMessage$JMSMessageStatus","java.lang.Enum"
"com.itsoninc.saas.adapters.sapphire.in.services.INAlertsServiceImpl$AlertOperationUrl","java.lang.Enum"
"com.itsoninc.saas.adapters.sapphire.in.services.INWalletResponse$INWalletResult","java.lang.Enum"
"com.itsoninc.saas.infrastructure.storage.FinderPredicate$NoSqlConsistencyLevel","java.lang.Enum"
"com.itsoninc.saas.services.notification.NotificationTemplateEngineService$TemplateOperatorPattern","java.lang.Enum"
"com.itsoninc.saas.services.notification.NotificationVariableSubstitutionService$OpMessageVariableName","java.lang.Enum"
"com.itsoninc.sapphire.in.MessageType","java.lang.Enum"
"com.itsoninc.saas.services.hls.instrumentation.HLSServiceComponentMetricsCreator$HLSMetricsType","java.lang.Enum"
"com.itsoninc.saas.infrastructure.config.Config$ENV","java.lang.Enum"
"com.itsoninc.saas.services.security.instrumentation.SecurityComponentMetricsCreator$SecurityComponentMetricsType","java.lang.Enum"
"com.itsoninc.saas.infrastructure.services.security.AuthenticationScheme","java.lang.Enum"
"com.itsoninc.saas.services.notify.provider.sms.chsmpp.ChSmppProviderImpl$SEND_STATUS","java.lang.Enum"
"com.itsoninc.saas.infrastructure.meta.ProtoBufMeta$StorageType","java.lang.Enum"
"com.itsoninc.saas.services.notification.VelocityTemplateEngineServiceImpl$VelocityTemplateOperatorPattern","java.lang.Enum"
"com.itsoninc.saas.services.security.PermissionOperationTypeUtil$PermissionOperation","java.lang.Enum"
"com.itsoninc.saas.adapter.connector.AbstractRequest$ContentType","java.lang.Enum"
"com.itsoninc.saas.services.partner.plancycle.notification.event.NotificationEventActionResponse$NotificationEventActionResponseEnum","java.lang.Enum"
"com.itsoninc.saas.services.hls.subscriber.SnidLocationService$SnidFanoutType","java.lang.Enum"
"com.itsoninc.saas.infrastructure.cache.instrumentation.CacheComponentMetricsCreator$CacheMetricsType","java.lang.Enum"
"com.itsoninc.saas.infrastructure.context.TenantContext$LocaleType","java.lang.Enum"
"com.itsoninc.saas.services.iop.instrumentation.IOPComponentMetricsCreator$IOComponentMetricsType","java.lang.Enum"
"com.itsoninc.saas.services.partner.plancycle.notification.event.TaggingNotificationEventActionResponse$TaggingNotificationEventActionResponseEnum","java.lang.Enum"
"com.itsoninc.saas.services.subscriber.identity.SubscriberNetworkIdService$SmsType","java.lang.Enum"
"com.itsoninc.saas.adapters.sapphire.in.services.INVASServiceType","java.lang.Enum"
"com.itsoninc.sapphire.in.DirectionType","java.lang.Enum"
"com.itsoninc.saas.services.partner.policy.RestrictionPolicyServiceImpl$RestrictionPolicyType","java.lang.Enum"
"com.itsoninc.saas.services.hls.account.AccountLocationServiceImpl$AccountIdType","java.lang.Enum"
"com.itsoninc.saas.services.usage.quota.QuotaNotificationServiceImpl$ForceSMSType","java.lang.Enum"
"com.itsoninc.saas.payment.adapter.ApiLoggingUtil$InstanceIdType","java.lang.Enum"
"com.itsoninc.saas.adapter.common.HomeLookupService$AccountType","java.lang.Enum"
"com.itsoninc.saas.services.partner.plancycle.instrumentation.PlanCycleMetricsCreator$PlanCycleMetricsType","java.lang.Enum"
"com.itsoninc.saas.services.subscriber.subscription.PlanSubscriptionHistoryServiceImpl$HistoryType","java.lang.Enum"
"com.itsoninc.saas.services.security.adminaccount.AdminAccountService$AdminAccountStatusType","java.lang.Enum"
"com.itsoninc.saas.services.group.SubjectMatcherId","java.lang.Enum"
"com.itsoninc.saas.infrastructure.cache.RemoteCacheClient$CacheOperationResultType","java.lang.Enum"
"com.itsoninc.saas.services.hls.instrumentation.HLSServiceComponentMetricsCreator$HLSLatencyType","java.lang.Enum"
